Domain,Planner,Problem,Solved,Total_Time(s),Plan_Length,Plan_Cost,Expanded_Nodes,Generated_Nodes,Exit_Code
darksouls-fd,lama-first,problem-01,YES,0.001628,9,9,9,26,0
darksouls-fd,lama-first,problem-02,YES,0.002560,19,19,25,110,0
darksouls-fd,lama-first,problem-03,YES,0.001747,3,3,3,8,0
darksouls-fd,lama-first,problem-04,YES,0.001683,15,15,17,48,0
darksouls-fd,lama-first,problem-05,YES,0.006047,19,19,19,58,0
darksouls-fd,lama-first,problem-06,YES,0.003213,27,27,161,414,0
darksouls-fd,lama-first,problem-07,YES,0.008530,39,39,249,843,0
darksouls-fd,lama-first,problem-08,YES,0.002231,5,5,5,17,0
darksouls-fd,lama-first,problem-09,YES,0.001821,15,15,29,83,0
darksouls-fd,lama-first,problem-10,YES,0.002460,11,11,11,32,0
darksouls-fd,lama-first,problem-11,YES,0.002425,19,19,35,108,0
darksouls-fd,lama-first,problem,YES,0.090829,45,45,3001,8282,0
darksouls-fd,lama,problem-01,YES,0.003567,9,9,149,430,0
darksouls-fd,lama,problem-02,YES,0.309205,15,15,57480,239184,0
darksouls-fd,lama,problem-03,YES,0.002880,3,3,19,48,0
darksouls-fd,lama,problem-04,YES,0.003812,15,15,241,660,0
darksouls-fd,lama,problem-05,YES,1.099009,19,19,63910,231495,0
darksouls-fd,lama,problem-06,YES,0.178689,23,23,30268,109103,0
darksouls-fd,lama,problem-07,YES,2.570698,33,33,189950,708568,0
darksouls-fd,lama,problem-08,YES,0.003732,5,5,125,441,0
darksouls-fd,lama,problem-09,YES,0.004261,15,15,316,875,0
darksouls-fd,lama,problem-10,YES,0.026036,11,11,4802,14474,0
darksouls-fd,lama,problem-11,YES,0.093348,17,17,15620,54653,0
darksouls-fd,lama,problem,YES,191.569553,41,41,5472549,22593515,0
darksouls-fd,fdss-opt,problem-01,YES,0.002811,9,9,27,65,0
darksouls-fd,fdss-opt,problem-02,YES,0.018124,15,15,1471,4047,0
darksouls-fd,fdss-opt,problem-03,YES,0.003043,3,3,5,10,0
darksouls-fd,fdss-opt,problem-04,YES,0.003563,15,15,62,138,0
darksouls-fd,fdss-opt,problem-05,YES,0.047568,19,19,7949,19588,0
darksouls-fd,fdss-opt,problem-06,YES,0.028776,23,23,9862,29731,0
darksouls-fd,fdss-opt,problem-07,YES,0.173695,33,33,60715,178086,0
darksouls-fd,fdss-opt,problem-08,YES,0.005509,5,5,8,24,0
darksouls-fd,fdss-opt,problem-09,YES,0.004468,15,15,128,236,0
darksouls-fd,fdss-opt,problem-10,YES,0.009575,11,11,227,606,0
darksouls-fd,fdss-opt,problem-11,YES,0.017322,17,17,2896,8933,0
darksouls-fd,fdss-opt,problem,YES,6.689761,41,41,1561811,5460466,0
